1,,,,,
68,1,n,integer,,(c=integer) & ((bIc) x^ (bGd)) & ((bIc) x^ (eGb)) & ((bIc) x^ (fNb)) & ((bIc) t^ (bIg)) & (g=non_whole)
69,,n,letter,,(c=letter) & ((bIc) x^ ((dPe) & (jPg))) & ((bIc) t^ (bIm)) & (hIc) & (db^bALh) & (jb^(kIc) t^ (k~ALb)) & (m=non_whole)
70,1,n,mind,,(c=mind) & ((bIc) t^ (bTKz))
71,,n,mind|a,,(c=mind) & ((bIc) x^ (bTKh)) & ((bIc) x^ (bDt)) & ((bIc) t^ (bIj)) & (((bTKr) & (rCRRq) & (sWb) & (qPh) & (To)) t^ ((qPe) & (nt+qPf) & (Tg) & (gAo))) & (j=non_whole) & (rb^sRt INSm) & (qb^sQu INSm)
72,,,mind|a,,EXP: what the last part of the definition means is that the mind has causal powers where if someone thinks r and at time 1 then it's possible that q is actual at time 2 and r corresponds to q.
73,1,n,moment,,(c=moment) & ((bIc) x^ (dTb)) & ((bIc) x^ (bAh)) & ((bIc) x^ (eAb)) & ((bIc) t^ (bIf)) & (f=non_whole)
74,1,na,now,,(b=now) t^ (cSb)
75,1,n,part,,(c=part) & ((bIc) x^ (dWb))
76,1,n,particle,,(c=particle) & ((bIc) x^ (bSd)) & ((bIc) x^ (hTg)) & ((bIc) t^ (bIf)) & (f=non_whole) & (g=now) & (hb^bSd)
77,,n,particle|m,,(c=particle|m) & ((bIc) x^ (bOd)) & ((bId) x^ (hTg)) & ((bIc) t^ (bIf)) & (f=non_whole) & (g=now) & (hb^bOd)
78,1,n,part|p,,(c=part|p) & (((bIc) & (bOFd)) x^ (dWb))
79,1,n,point,,(c=point) & ((bIc) x^ (dSb)) & ((bIc) x^ (eABb)) & ((bIc) x^ (bABm)) & ((bIc) x^ (fFb)) & ((bIc) x^ (bFj)) & ((bIc) x^ (gLb)) & ((bIc) x^ (bLk)) & ((bIc) t^ (bIh)) & (h=non_whole)
80,,n,point|b,,(c=point|b) & ((bIc) x^ (dZb)) & ((bIc) x^ (eABb)) & ((bIc) x^ (bABm)) & ((bIc) x^ (gLb)) & ((bIc) x^ (bLk)) & ((bIc) t^ (bIh)) & (h=non_whole)
81,,,point|b,,EXP: the difference between point|b and point is that point|b exists in 2 dimensional space whereas point exists in three dimensional space
